日期,期別,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,號碼7,號碼8,號碼9,號碼10,號碼11,號碼12,號碼13,號碼14,號碼15,號碼16,號碼17,號碼18,號碼19,號碼20
2026/06/03,115031170,02,03,05,12,14,16,20,22,24,29,41,43,48,58,60,64,68,69,71,76
2026/06/03,115031169,03,06,08,10,14,15,21,22,30,31,35,36,37,38,39,61,62,65,68,71
2026/06/03,115031168,04,08,12,21,22,24,28,30,38,39,49,50,51,57,59,62,68,71,77,78
2026/06/03,115031167,03,07,09,14,15,19,27,29,41,43,46,48,60,63,68,69,70,72,76,77
2026/06/03,115031166,09,11,13,14,19,26,34,38,40,41,43,45,46,53,54,58,59,64,65,80
2026/06/03,115031165,02,04,09,13,14,16,17,20,21,32,38,42,47,52,53,64,65,66,72,78
2026/06/03,115031164,02,19,29,30,33,43,47,51,52,53,55,59,61,63,65,66,68,70,71,72
2026/06/03,115031163,03,05,07,08,12,15,18,20,22,23,25,26,28,42,46,52,67,70,75,78
2026/06/03,115031162,01,10,13,14,26,27,29,34,36,41,42,43,46,47,53,54,58,59,76,79
2026/06/03,115031161,05,07,11,18,23,26,29,35,40,43,48,49,52,56,60,66,67,69,76,77
2026/06/03,115031160,01,02,04,08,23,25,26,30,31,38,39,40,44,49,50,51,57,63,72,73
2026/06/03,115031159,08,14,19,21,26,29,31,32,34,36,37,54,57,59,60,61,68,76,79,80
2026/06/03,115031158,02,08,12,13,16,22,25,35,36,41,45,49,50,51,55,56,59,62,71,76
2026/06/03,115031157,03,05,11,16,22,23,26,33,36,38,41,43,45,49,53,58,59,63,76,78
2026/06/03,115031156,03,12,14,16,19,25,28,30,31,42,47,58,61,63,70,72,73,74,77,78
2026/06/03,115031155,09,10,11,13,14,18,20,25,29,35,37,45,48,59,62,63,68,73,75,79
2026/06/03,115031154,02,07,09,11,12,15,21,23,26,30,36,37,43,44,51,54,65,67,75,80
2026/06/03,115031153,01,06,07,11,17,19,28,29,36,37,38,40,41,54,55,56,70,74,75,79
2026/06/03,115031152,01,06,10,13,22,26,32,33,42,48,49,52,55,58,60,61,62,68,73,78
2026/06/03,115031151,07,09,12,20,24,25,26,28,29,31,36,37,39,46,49,51,56,72,75,76
2026/06/03,115031150,08,09,11,12,16,21,22,23,28,30,40,48,50,51,55,56,69,72,73,78
2026/06/03,115031149,07,12,13,18,20,22,23,25,27,30,36,37,39,46,48,49,67,69,70,73
2026/06/03,115031148,04,06,08,09,11,21,30,44,45,46,49,58,59,60,61,62,64,65,70,75
2026/06/03,115031147,09,10,12,19,21,24,34,37,40,47,50,53,59,61,62,65,70,73,76,80
2026/06/03,115031146,02,03,06,10,14,20,22,24,27,34,40,44,49,51,52,53,55,61,77,80
2026/06/03,115031145,03,04,05,12,16,20,21,28,34,35,36,40,44,50,51,52,55,56,61,79
2026/06/03,115031144,06,09,15,19,21,25,28,37,40,43,45,50,53,55,56,61,66,77,78,79
2026/06/03,115031143,03,04,07,10,12,13,18,20,26,28,33,34,39,41,47,49,53,55,62,66
2026/06/03,115031142,01,08,13,18,19,25,30,33,36,44,52,58,59,63,64,69,70,71,75,77
2026/06/03,115031141,03,05,06,08,10,11,13,15,20,23,25,26,34,36,47,50,51,68,71,80
2026/06/03,115031140,02,04,09,12,17,18,19,25,26,29,35,51,53,59,61,64,69,71,75,80
2026/06/03,115031139,06,07,12,14,15,16,17,19,21,26,30,32,36,45,50,51,56,65,67,76
2026/06/03,115031138,02,04,15,20,24,27,28,38,40,42,52,53,57,67,74,75,76,78,79,80
2026/06/03,115031137,02,03,08,14,17,19,21,26,33,34,35,37,45,51,53,57,71,73,74,78
2026/06/03,115031136,08,09,13,15,33,38,39,40,49,51,52,61,64,66,67,69,72,77,78,80
2026/06/03,115031135,03,04,08,14,15,19,22,29,32,42,47,48,49,51,52,54,59,62,66,76
2026/06/03,115031134,08,10,27,29,32,33,34,37,40,42,46,47,55,58,62,65,67,68,73,77
2026/06/03,115031133,01,03,05,09,10,20,23,25,32,39,42,44,56,60,62,66,68,72,75,78
2026/06/03,115031132,02,04,09,10,12,18,25,38,39,42,53,55,56,57,60,61,69,71,73,79
2026/06/03,115031131,02,03,04,05,10,11,13,21,24,29,42,44,48,52,56,57,58,59,64,80
2026/06/03,115031130,02,03,09,12,13,24,26,27,28,32,35,38,42,49,51,53,59,63,73,75
2026/06/03,115031129,02,04,07,10,11,12,13,15,18,23,25,41,42,43,46,58,60,62,63,80
2026/06/03,115031128,01,03,08,09,11,15,17,33,47,56,59,61,63,65,67,69,74,75,76,77
2026/06/03,115031127,02,03,05,07,08,13,27,33,35,37,45,46,47,48,55,60,63,64,71,78
2026/06/03,115031126,07,15,18,24,25,28,31,33,34,39,46,49,50,51,52,54,57,66,70,73
2026/06/03,115031125,03,04,16,17,18,24,25,29,30,32,33,38,40,42,44,52,54,59,71,78
2026/06/03,115031124,02,04,09,11,12,13,14,19,21,29,37,45,46,47,52,61,62,65,70,74
2026/06/03,115031123,01,04,06,14,25,26,36,37,39,45,51,55,56,61,63,67,71,73,74,78
2026/06/03,115031122,06,15,16,18,19,23,27,28,31,35,36,37,38,54,56,64,68,71,73,78
2026/06/03,115031121,01,06,08,11,18,19,28,31,37,41,47,50,53,54,59,65,68,73,76,79
2026/06/03,115031120,01,16,17,20,22,23,25,26,50,55,58,59,62,65,69,70,71,73,75,76
2026/06/03,115031119,02,06,11,17,23,25,34,35,48,51,57,61,66,68,69,70,71,72,73,77
2026/06/03,115031118,02,05,09,18,20,27,34,40,47,49,56,60,63,65,66,67,72,77,78,79
2026/06/03,115031117,14,19,21,22,28,30,38,40,48,51,52,57,58,65,66,68,72,74,76,78
2026/06/03,115031116,04,05,07,09,15,22,35,40,41,44,47,49,55,56,62,63,67,70,79,80
2026/06/03,115031115,05,22,23,29,30,41,43,44,45,48,52,54,61,65,67,69,70,73,77,80
2026/06/03,115031114,07,11,12,13,17,23,26,29,32,40,42,43,48,55,57,58,60,67,68,80
2026/06/03,115031113,01,05,08,12,13,21,28,34,35,44,46,47,51,55,60,62,64,68,71,74
2026/06/03,115031112,05,10,16,21,24,28,32,38,39,44,52,53,54,57,62,63,65,66,67,68
2026/06/03,115031111,01,03,06,08,17,18,23,35,41,45,46,52,54,64,68,69,71,74,76,78
2026/06/03,115031110,04,10,16,19,20,23,27,30,39,42,44,47,54,55,56,57,61,70,71,76
2026/06/03,115031109,02,03,05,06,12,29,31,37,40,41,44,45,47,50,51,52,54,55,62,65
2026/06/03,115031108,03,04,05,06,12,17,18,21,29,33,37,40,52,54,58,59,60,68,70,71
2026/06/03,115031107,03,05,09,16,21,24,26,31,35,43,48,53,56,58,59,61,65,73,76,79
2026/06/03,115031106,01,03,08,22,28,34,38,41,43,46,56,58,62,67,68,69,72,73,76,80
2026/06/03,115031105,02,06,09,11,16,20,24,31,36,37,39,44,48,52,53,57,64,70,74,75
2026/06/03,115031104,01,12,15,16,24,30,32,39,41,44,47,52,56,60,66,69,71,73,77,80
2026/06/03,115031103,02,03,10,11,16,20,22,23,25,28,32,33,34,35,36,42,47,49,52,76
2026/06/03,115031102,04,07,11,12,15,20,26,29,30,35,39,40,53,54,55,59,69,70,75,76
2026/06/03,115031101,07,08,10,11,12,19,22,37,40,47,48,55,58,61,66,72,76,78,79,80
2026/06/03,115031100,05,07,12,13,15,17,19,29,30,31,32,33,45,47,52,57,60,63,77,80
2026/06/03,115031099,01,02,03,05,12,30,34,35,36,40,49,52,54,56,63,64,70,73,77,79
2026/06/03,115031098,08,11,15,20,22,26,29,30,34,38,39,49,59,60,65,69,71,72,73,76
2026/06/03,115031097,02,03,07,11,15,17,18,19,21,26,28,39,48,55,62,65,66,68,75,78
2026/06/03,115031096,06,07,10,12,13,14,16,31,34,35,36,41,49,51,53,61,63,68,74,76
2026/06/03,115031095,03,08,09,28,29,35,37,41,42,43,44,47,49,57,58,59,68,70,77,80
2026/06/03,115031094,01,17,18,19,20,21,27,34,38,39,42,43,44,61,62,66,68,69,73,80
2026/06/03,115031093,01,06,10,18,20,21,26,27,32,39,43,50,53,65,66,68,73,76,77,78
2026/06/03,115031092,04,08,09,13,14,15,26,27,33,36,40,41,44,56,57,62,66,67,69,72
2026/06/03,115031091,02,06,07,08,10,13,19,24,25,26,27,45,47,49,53,69,70,71,75,76
2026/06/03,115031090,01,04,08,09,15,25,26,31,37,43,50,53,54,55,62,68,69,73,77,79
2026/06/03,115031089,02,04,05,14,33,37,40,42,43,47,48,51,52,53,59,63,66,73,76,77
2026/06/03,115031088,02,06,15,16,19,22,31,37,39,47,48,51,52,55,59,61,62,65,71,73
2026/06/03,115031087,01,02,07,08,17,19,20,22,26,27,30,35,36,49,54,57,60,71,72,76
